Date,Open,High,Low,Close,Volume
2025-01-02,36.804041817807956,37.00679511527581,36.553019011764164,36.81852340698242,24103400
2025-01-03,37.030930273378836,37.40746632805479,36.871625424705634,37.20954513549805,17767000
2025-01-06,37.20955160047667,37.23851478417366,36.67371060402775,36.794395446777344,25623800
2025-01-07,36.91990212430661,37.079203289214014,36.606120852565546,36.702667236328125,22856400
2025-01-08,36.639914433407135,36.73163239803098,36.089591913629405,36.693016052246094,26845800
2025-01-10,36.808869917917896,37.09368432386496,36.31164905125884,36.485435485839844,31217000
2025-01-13,36.44681992626348,36.48543995712734,35.67926614864073,36.06062698364258,24891600
2025-01-14,36.20061918318512,36.644742139589596,36.10890122035877,36.53371047973633,19675000
2025-01-15,37.17092436685912,37.43643244268291,37.030929534425525,37.069549560546875,21360400
2025-01-16,37.05023996785053,38.020546957860056,37.03575837864282,38.006065368652344,30415000
2025-01-17,37.98192577213913,38.23294857109825,37.8612409550801,38.05916213989258,14668800
2025-01-21,38.488799810798795,38.83154421663786,38.39224975654329,38.64327621459961,21633400
2025-01-22,38.7494838220127,38.7494838220127,37.78883360084892,37.808143615722656,23644800
2025-01-23,37.94813534451824,38.26191661517947,37.88055213951532,37.98675537109375,21585000
2025-01-24,37.92882462979413,38.48397553177294,37.84675983709518,38.37294387817383,16769600
2025-01-27,37.60056327786524,37.69228492219734,36.6061215117706,37.48470687866211,42448200
2025-01-28,37.46539870284896,37.46539870284896,36.639914912391035,36.968177795410156,28540200
2025-01-29,36.95851694124986,37.47022306647661,36.919900599145144,37.04541015625,19130800
2025-01-30,37.47505034052713,37.87572484139006,37.44125873702113,37.81779479980469,18712600
2025-01-31,37.851592394288254,37.88538399985467,37.50884423110336,37.59573745727539,19669600
2025-02-03,37.09851442299488,37.938479772724484,37.04058806419127,37.79848861694336,28118800
2025-02-04,37.58125328035656,37.64401174566705,37.0888608212747,37.465396881103516,20498200
2025-02-05,37.83710196555016,38.097781608549354,37.52814913303444,37.8419303894043,15992600
2025-02-06,38.006066663009655,38.006066663009655,37.52815210482838,37.79848861694336,12820800
2025-02-07,37.78882801257111,38.054336074060274,37.67780004722706,37.72124481201172,14330400
2025-02-10,37.827452102876784,38.1460581279042,37.6198740551284,38.13157653808594,10664200
2025-02-11,37.981928238234204,38.343982712918816,37.66331853266763,38.32467269897461,10835600
2025-02-12,37.83227846958404,38.34880934872485,37.66331677620405,38.25708770751953,14888800
2025-02-13,38.329501106833376,38.416394328040894,38.10744147108274,38.3439826965332,17020800
2025-02-14,38.32467196016374,38.63362481129803,38.16054236931487,38.18467712402344,13972000
2025-02-18,38.34397945392454,38.60465909550238,38.21364147463974,38.541900634765625,15509000
2025-02-19,38.498461335767594,38.86051583108829,38.45984130567794,38.744659423828125,12513200
2025-02-20,38.619145188376166,38.83155166547502,38.27640071679038,38.739830017089844,17390800
2025-02-21,38.74466027425862,38.87499827491108,38.56121696881067,38.74948501586914,15547400
2025-02-24,38.860513285242774,38.86534170943985,38.382602413971,38.55638885498047,14974000
2025-02-25,38.3295049018076,38.44053288917143,37.808145522943114,38.36329650878906,21837800
2025-02-26,38.43570504380739,38.86051430912967,38.3101917924361,38.52259826660156,15421800
2025-02-27,38.41639155938008,38.50328477432522,37.62952420098564,37.66814422607422,25074600
2025-02-28,37.914344252405336,38.25708870610787,37.71159463466724,38.24260711669922,21770000
2025-03-03,38.20398225594485,38.416388695086866,38.03985268606822,38.29570388793945,19276400
2025-03-04,38.29570774233115,38.49845735482325,37.6150435936683,37.6729736328125,22561800
2025-03-05,37.42194847797706,37.67297497352712,37.10334245886634,37.407466888427734,20666800
2025-03-06,37.11782437567303,37.15161597925557,36.524057100864475,36.63025665283203,25405800
2025-03-07,36.71232126466583,37.475046477026176,36.6061180408793,37.310916900634766,23234400
2025-03-10,37.18057552452843,37.83227646036397,37.18057552452843,37.72124481201172,37366000
2025-03-11,37.70194216682966,37.8467654437596,37.17092962310142,37.36885452270508,32640000
2025-03-12,37.36402238166016,37.58125359243964,37.026102663437186,37.25299072265625,17432000
2025-03-13,37.378506724418564,37.49919155774253,37.108173876335705,37.3447151184082,16801200
2025-03-14,37.45573720239966,38.11709131071895,37.320570799650206,38.073646545410156,18269400
2025-03-17,38.063994094964926,38.4550154429564,37.87572605752811,38.23295211791992,19290400
2025-03-18,38.006065400126666,38.07364860515758,37.721247307774846,37.967445373535156,19285200
2025-03-19,37.98675232268181,38.160538745316906,37.85158592352299,38.10743713378906,16163400
2025-03-20,38.11226163030076,38.31983965139571,38.03019684319553,38.26191329956055,16415200
2025-03-21,38.112266755478814,38.29571004898051,37.77917913861003,38.01572036743164,15627600
2025-03-24,38.16399846065225,38.465422458947245,37.969531484628035,38.003562927246094,13996800
2025-03-25,37.96467165235389,37.97439704192028,37.22083884394686,37.39585876464844,22396000
2025-03-26,37.40071605219991,37.73130877582398,37.40071605219991,37.643798828125,15164000
2025-03-27,37.609773029290984,37.94522849731322,37.52226306846559,37.63408279418945,13971800
2025-03-28,37.86257432196868,38.14941394509938,37.794511436984926,37.91119384765625,19078600
2025-03-31,37.96953184381316,38.48972887683821,37.95981016403706,38.33415603637695,21470000
