Date,Open,High,Low,Close,Volume
2025-01-02,135.31390852155903,135.81305084408726,134.19820058539318,134.67776489257812,8973000
2025-01-03,134.95178572734935,136.38068205110324,134.8049879590676,135.99899291992188,8288700
2025-01-06,135.94027084041443,137.05597877847387,135.6075192472643,136.05772399902344,8653300
2025-01-07,136.39046891687514,137.92700704160174,136.39046891687514,136.73301696777344,12639700
2025-01-08,136.98747802888698,137.64319967386342,135.73475385137232,137.4376678466797,7827400
2025-01-10,136.9678817423192,137.94657330880045,136.38067576261938,136.66448974609375,10343700
2025-01-13,136.8112812456901,138.7980387736685,136.693843041855,138.44570922851562,9422200
2025-01-14,138.25975761900855,138.25975761900855,135.92068544282978,137.01681518554688,10277800
2025-01-15,137.3985347500272,138.2304287144077,136.79175064130092,137.57470703125,11388400
2025-01-16,137.14406531073763,138.3282738410909,136.60578191800914,138.1227569580078,8512100
2025-01-17,137.9368084018131,138.38699821383582,137.1929931640625,137.1929931640625,7668100
2025-01-21,137.91722739176137,139.47334355223728,137.89764937707469,139.46356201171875,7257800
2025-01-22,138.7784674660956,139.5907832603751,138.12274590692624,139.15036010742188,8189900
2025-01-23,139.53208385246225,141.02948096966608,138.84698771055696,141.00990295410156,8032900
2025-01-24,140.38352842057603,141.52859582441442,140.2171526371447,141.2349853515625,8127900
2025-01-27,142.00816845851529,144.43531963865732,141.88093376160083,144.4059600830078,12311300
2025-01-28,144.39617352913805,144.59192382511657,143.35876266851582,143.39791870117188,9686400
2025-01-29,142.97704357318685,143.4566078041639,142.2038838269665,142.55621337890625,8159100
2025-01-30,143.1336538794131,144.6016913550994,143.12387233902234,144.20042419433594,7705200
2025-01-31,144.4353410219322,145.42381438698968,143.69154061261045,143.74046325683594,9211800
2025-02-03,142.86939773904962,145.0029532246911,142.83025664526534,144.2982940673828,13001500
2025-02-04,142.7128244934366,144.0634088242832,142.48771466025423,143.9068145751953,11762000
2025-02-05,144.25914445374002,145.55102461079213,143.96554890318234,145.28677368164062,10042300
2025-02-06,144.99315860324793,145.29656555195987,143.76979406918863,143.985107421875,12422100
2025-02-07,144.19063056609517,144.76805500738234,143.20215745811296,143.30979919433594,11199700
2025-02-10,143.47619714198973,143.52511977596023,142.36048929505108,143.18258666992188,7374300
