Date,Open,High,Low,Close,Volume
2025-01-02,116.30993661422309,116.63748817551843,114.03693899826615,115.12380981445312,12766600
2025-01-03,115.82853238539688,117.12384298573369,115.6002368170606,116.99977111816406,9117600
2025-01-06,118.33478429972423,119.63505503401473,118.02212077367135,118.48863220214844,8975400
2025-01-07,119.10899266102878,119.10899266102878,115.7044603178912,116.11141967773438,10006800
2025-01-08,116.37941211778,116.39926028464053,114.95506949722913,116.07171630859375,10023800
2025-01-10,114.85084806233934,114.8707038023375,112.87065828492545,113.5406494140625,11665800
2025-01-13,111.71431283893578,112.81607163124075,111.39172143888493,112.73666381835938,10656000
2025-01-14,113.61011907201082,113.92278258033154,112.13614477956357,113.034423828125,7220200
2025-01-15,114.5778807643784,115.6200874348942,114.20070502986327,115.28260803222656,10465400
2025-01-16,116.22059076276977,116.29503842350499,114.36944070488514,114.39425659179688,5368400
2025-01-17,116.45881165537914,116.59777153176618,115.6746765970549,116.18585205078125,6742600
2025-01-21,116.57295484157616,117.44145784937918,115.7640039024583,117.15361022949219,6744200
2025-01-22,118.73677327717563,120.07674788738461,118.56803736040577,119.798828125,10243800
2025-01-23,118.87574257864695,120.03705349467283,118.76159857563916,120.01224517822266,7604400
2025-01-24,120.3894112907635,120.3894112907635,118.37944559100853,118.76158905029297,6607600
2025-01-27,113.4413873738749,114.63247423678975,111.89793308589813,112.94013977050781,20705600
2025-01-28,113.7044170473867,116.21067016404659,112.50340233688681,115.95259857177734,11260600
2025-01-29,115.72430639543438,115.77889831899495,113.89301202743877,115.00965881347656,9050000
2025-01-30,114.80618095199198,115.62009209710423,114.01708569484418,115.22306060791016,8840200
2025-01-31,116.2950449953322,116.98984443165118,114.24041515050793,114.54811096191406,10741800
2025-02-03,112.01207900360906,113.69449320205747,111.41653556192519,113.00465393066406,13752800
2025-02-04,113.39176568813053,114.81114823864327,113.35206177946803,114.63248443603516,8371200
2025-02-05,114.73670818073401,116.25038656822647,114.37442042659526,116.22557067871094,5398000
2025-02-06,116.22556631770071,116.78140587281044,115.70942309703084,116.5431900024414,6808000
2025-02-07,117.0146609914495,117.57546826503321,115.15854309699483,115.545654296875,8552800
2025-02-10,116.45881736995155,117.52583238158394,116.42407361277726,117.23302459716797,6054200
2025-02-11,116.58289323464366,117.75909213382347,116.50348542073175,117.2876205444336,6456200
2025-02-12,115.63498107371868,117.17347526731714,115.50594905707814,117.03451538085938,8555600
2025-02-13,117.24294971153124,118.76654824257,117.07917394458487,118.69210815429688,7829600
2025-02-14,118.59285334975496,119.19335692840761,118.37448565833743,119.09410095214844,4557000
2025-02-18,119.70949768110181,120.19585725577936,119.15365059443917,120.18096923828125,6024000
2025-02-19,120.04696742693666,120.66732672108816,119.20824044960457,120.19088745117188,5604200
2025-02-20,120.07674585569431,120.23556147308156,118.54321946743282,119.80875396728516,5987400
2025-02-21,119.84349449225402,119.89312626767193,116.50348198531228,116.56303405761719,9057600
2025-02-24,117.01465739950177,117.34220894248246,114.75158778026372,114.8955078125,7447600
2025-02-25,114.65233312131295,114.75654924898582,112.63243948910538,113.40664672851562,10433600
2025-02-26,114.51833078458712,115.72430567104104,113.76397172903927,114.64240264892578,7630600
2025-02-27,115.26772693404891,115.38683865497806,110.41900372552648,110.4686279296875,10100000
2025-02-28,109.97233016502544,112.04184784633598,109.03434722208979,111.92770385742188,14172200
2025-03-03,112.50340565496354,112.73169364610179,107.7191948376932,108.52317810058594,12516200
2025-03-04,107.71919693850467,110.35448219404434,106.3345506556899,108.43881225585938,17721000
2025-03-05,108.77627574050564,110.31972995735636,107.31719705113375,109.96240997314453,11931000
2025-03-06,107.70430311206252,109.40656540840224,106.39410456409189,106.91024017333984,16432000
2025-03-07,106.7861700228785,108.73161592388972,105.5256032281668,108.45865631103516,11263400
2025-03-10,106.31469365950838,106.51320560203516,102.77120171891461,103.84814453125,21561800
2025-03-11,103.53053138090524,105.16828157748016,102.37914079377516,103.42630767822266,14832800
2025-03-12,105.27249061266409,105.96729758064815,103.79851629235856,105.05412292480469,10981600
2025-03-13,104.75139349998412,104.98464162964521,102.65705989927852,103.05905151367188,12383000
2025-03-14,104.40896091215502,106.28492695282245,104.37421715415392,106.17574310302734,10040800
2025-03-17,106.09138302807679,107.67454139504947,105.78367962271373,106.91521453857422,10148800
2025-03-18,106.15588710819266,106.26507095772529,104.90028041131318,105.28738403320312,11486600
2025-03-19,105.82834346798532,107.90778161873459,105.38664791992818,106.65714263916016,8838600
2025-03-20,105.44619611775637,107.06409049407144,105.28738049731668,105.89781951904297,7145200
2025-03-21,104.5776948385524,106.3295889776148,104.19059122312333,106.1856689453125,10425400
2025-03-24,107.95306760493409,108.45519529022259,107.66969101772507,108.1966781616211,8200200
2025-03-25,108.1270771949118,108.69880681778292,108.07238941990347,108.55463409423828,7481800
2025-03-26,108.22152649048478,108.4800511966626,105.71584941735351,106.13346099853516,7873000
2025-03-27,105.40760857184084,106.00419760145509,104.59723731820718,105.154052734375,6577800
2025-03-28,104.60718709390041,105.02976753102259,102.25562045927593,102.6036376953125,10667600
2025-03-31,100.81386471686011,102.88701608190749,99.7946876206318,102.65335083007812,14219000
2025-04-01,102.24567946265459,103.49354530544926,101.410448743438,103.40406036376953,9480200
2025-04-02,101.92750185063791,105.02976798519994,101.84795461999748,104.16968536376953,9292000
2025-04-03,99.17821950191886,99.77977744879703,96.98077834433285,97.06031799316406,19451400
2025-04-04,94.03262231574539,94.77836057274433,90.63205768448024,90.66685485839844,33804600
2025-04-07,86.96799128477433,95.36003483934215,85.73503949920695,91.2087631225586,44557800
2025-04-08,94.60435091684616,95.87210745717448,87.71870563701577,89.35435485839844,25811400
2025-04-09,89.53830847052308,101.90761502356565,89.4239564774775,101.35079956054688,36988800
2025-04-10,97.86571845120294,98.53687831823507,93.331624775544,96.63275909423828,19747600
2025-04-11,96.15050808692101,99.03403062017763,95.42962935011715,98.6114501953125,14423200
